Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1164001,CAT,DOMESTIC SH,196005-01,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2022-12-07,CRITICAL,EUTHANIZED,2022-12-07
A1162834,DOG,MIXED BREED,LFD 061,AVAILABLE,FOSTER,URGENT,PERSNLISSU,2022-12-31,APP WNL,ADOPTION,2023-01-06
A1161781,DOG,ALASKAN HUSKY,LOST,IMPOUNDED,STRAY,WEB,,2022-11-04,NORMAL,LOST EXP,2022-12-07
A1163630,DOG,MIXED BREED,LFD 026,AVAILABLE,OWNER SURRENDER,APPOINT,NOTRIGHTFT,2023-01-02,APP WNL,ADOPTION,2023-01-02
A1159632,DOG,MIXED BREED,DC 15,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-08,APP INJ,ADOPTION,2022-10-16
A1160229,CAT,DOMESTIC SH,LFC 037,UNAVAILABLE,FOSTER,APPOINT,NOTRIGHTFT,2022-11-14,APP WNL,TRANSFER,2022-11-16
A1148467,DOG,CANE CORSO,196007-01,IMPOUNDED,OWNER SURRENDER,URGENT,MEDICAL,2022-11-07,CRITICAL,EUTHANIZED,2022-11-07
A1163509,DOG,MIXED BREED,DC 21,AVAILABLE,STRAY,CONFINED,OTHRINTAKS,2022-11-30,APP WNL,FOSTER,2022-12-12
A1152456,DOG,AUST SHEPHERD,INJD 008,UNAVAILABLE,TREATMENT,HEART WORM,OTHER,2022-10-19,APP WNL,TREATMENT,2022-10-19
A1159093,DOG,GERM SHEPHERD,LOST,IMPOUNDED,STRAY,WEB,,2022-10-02,NORMAL,LOST EXP,2022-11-02
A1159858,DOG,MIXED BREED,AD 035,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-12,APP WNL,TRANSFER,2022-10-24
A1162594,DOG,BEAGLE,LOST,IMPOUNDED,STRAY,WEB,,2022-10-13,NORMAL,LOST EXP,2022-12-19
A1162100,DOG,MIXED BREED,LFD 098,EU RISK,FOSTER,APPOINT,BEHAVIOR,2022-11-16,APP INJ,TRANSFER,2022-11-21
A1158050,DOG,MIXED BREED,6A,EU RISK,OWNER SURRENDER,WALK IN,BEHAVIOR,2022-10-07,APP WNL,ADOPTION,2022-10-11
A1152193,CAT,DOMESTIC SH,AC 007,UNAVAILABLE,FOSTER,APPOINT,FOR ADOPT,2022-10-16,APP WNL,ADOPTION,2022-10-16
